Date,BadPost
8/17/2019,"If the cast of Love Live! Sunshine!! all turned into sea creatures, would you store them in an Aqour-ium?  And If the same thing happened to the original cast, wouldn't that also be pretty a-Muse-ing?"
8/18/2019,"If an official side story were written about a certain blue-haired girl, would it be considered Kanan-ical?"
8/19/2019,"If Ohara were turned into a puppet,  would she be a Mari-onette?"
8/20/2019,"If there was something important you needed to know about groups like Aqours or Muse, wouldn't it be considered v-idol information?"
8/21/2019,"If Watanabe were to become Yohane's slave apprentice, would she end up as a chuunib-You?"
8/22/2019,"Would Eli oshis be considered b-Eli-evers?  And with the comeback of Muse, does that mean they get to B-Eli-eve Again?"
8/23/2019,"If you failed chuusen for an iDOLM@STER concert, would that mean you dek-iM@S-ened?"
8/24/2019,"If the older Kurosawa sister became evil, would she have Dia-bolical plans?"
8/25/2019,Would a prank pulled by Hanamaru be called an ita-zura?
8/26/2019,"If you became a complete master of wotagei, would you have attained penlightenment?"
8/27/2019,Is Love Live addicting because it has Nico-tine?
8/28/2019,"If Sonoda was depressed, would she be feeling gl-Umi?"
8/29/2019,"If you pre-booked an event for your Love Live! plushies, would you have made a neso-rvation?"
8/30/2019,"Going back to Aqours all being sea creatures again, would the Aqour-ium be at Numa-zoo?"
8/31/2019,Would Sonoda's favorite penlight type be L-Umi-ca?
9/1/2019,"If someone was a yakkai Hoshizora oshi, would they need a Rin-tervention?"
9/2/2019,"If Sakarauchi became #1 in something, would she have attained a new Riko-rd?"
9/3/2019,"If you were to remodel and redecorate your house to be all Hoshizora themed, would you have done a Rin-ovation?"
9/4/2019,If you got a bunch of Nicos to sing together would that create harmo-niiiii?
9/5/2019,"If a seiyuu went on standby mode, would they be idol-ing?"
9/6/2019,"If the younger Kurosawa sister lived in the middle ages, would she be a t-Ruby-dour?"
9/7/2019,"If you obtained a PhD in Love Live! plushies, would you have to write a neso-rtation?"
9/8/2019,"If you combined the main character of Sunshine with the mascot of pokemon, would you get a Chikachu?"
9/9/2019,"If the rich girl were to do something against all odds, would she have pulled off a Mari-cle?"
9/10/2019,"If you got asked to join a Hoshizora themed party, would that be considered a Rin-vitation?"
9/11/2019,"If you combined the main character of Sunshine with the grass Johto starter, would you get a Chika-rita?"
9/12/2019,"If you went bankrupt because of heavy spending on otaku stuff, would that mean you'd be on whale-fare?"
9/13/2019,"If you fantasized about lewding a bandori character in your sleep, would that be considered a BanG Dream?"
9/14/2019,"If you were to keep pestering someone about Wake Up, Girls!, would that be considered WUGging them?"
9/15/2019,"If idols give out love and are loved themselves, shouldn't they be called ai-dols?"
9/16/2019,"If you wanted to lick or taste your favorite idol, would they be your oishi?"
9/17/2019,"If you won the lottery for an idol concert, does that mean you're the chuusen one?"
9/18/2019,"If the gothic bandori band suddenly turned into macho men, would they be called Broselia?"
9/19/2019,Would Dia's sister's favorite drink be a Ruby-r float?
9/20/2019,Are Love Live plushies considered Neso-ssary to own by fans?
9/21/2019,"If Ohara were to be featured in a Nintendo crossover game, would it be called Super Mari-o Bros.?"
9/22/2019,"If Ruby's sister had a unique speech pattern, would that be considered a Dia-lect?"
9/23/2019,"If Nico became a queen, would you have to NIIIII-L before her?"
9/24/2019,Would a Takami-themed subway be called a Chika-tetsu?
